Book_Title,Book_Author,Year_Of_Publication,Publisher,avg_rating,num_ratings,Image_URL_L
All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993.0,Avon,8.031746031746032,63,http://images.amazon.com/images/P/0380718332.01.LZZZZZZZ.jpg
Life of Pi,Yann Martel,2003.0,Harvest Books,8.030973451327434,226,http://images.amazon.com/images/P/0156027321.01.LZZZZZZZ.jpg
The Body Farm,Patricia Daniels Cornwell,1995.0,Berkley Publishing Group,8.024691358024691,81,http://images.amazon.com/images/P/0425147622.01.LZZZZZZZ.jpg
Neverwhere,Neil Gaiman,1998.0,Avon,8.023809523809524,126,http://images.amazon.com/images/P/0380789019.01.LZZZZZZZ.jpg
Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,2002.0,Anchor,8.023255813953488,129,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
Notes from a Small Island,Bill Bryson,1997.0,Perennial,8.02,50,http://images.amazon.com/images/P/0380727501.01.LZZZZZZZ.jpg
Wish You Well,David Baldacci,2001.0,Warner Books,8.019607843137255,51,http://images.amazon.com/images/P/0446610100.01.LZZZZZZZ.jpg
A Widow for One Year,JOHN IRVING,1999.0,Ballantine Books,8.017543859649123,57,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
The Five People You Meet in Heaven,Mitch Albom,2003.0,Hyperion,8.016528925619834,242,http://images.amazon.com/images/P/0786868716.01.LZZZZZZZ.jpg
American Gods,Neil Gaiman,2002.0,HarperTorch,8.013245033112582,151,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
The Kitchen God's Wife,Amy Tan,1992.0,Ivy Books,8.010204081632653,98,http://images.amazon.com/images/P/080410753X.01.LZZZZZZZ.jpg
A Year in Provence,Peter Mayle,1991.0,Vintage Books USA,8.0,67,http://images.amazon.com/images/P/0679731148.01.LZZZZZZZ.jpg
E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1989.0,Bantam,8.0,54,http://images.amazon.com/images/P/0553279556.01.LZZZZZZZ.jpg
From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,8.0,72,http://images.amazon.com/images/P/0553582747.01.LZZZZZZZ.jpg
Cat &amp; Mouse (Alex Cross Novels),James Patterson,1998.0,Warner Books,8.0,77,http://images.amazon.com/images/P/0446606189.01.LZZZZZZZ.jpg
"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995.0,Health Communications,8.0,134,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999.0,Scribner,8.0,136,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg
G Is for Gumshoe (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1991.0,Fawcett Books,8.0,60,http://images.amazon.com/images/P/0449219364.01.LZZZZZZZ.jpg
Lord of the Flies,William Gerald Golding,1959.0,Perigee Trade,7.9907407407407405,108,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
All I Really Need to Know,ROBERT FULGHUM,1989.0,Ivy Books,7.989247311827957,93,http://images.amazon.com/images/P/080410526X.01.LZZZZZZZ.jpg
Girl with a Pearl Earring,Tracy Chevalier,2001.0,Plume Books,7.982014388489208,278,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
Animal Dreams,Barbara Kingsolver,1991.0,Perennial,7.970149253731344,67,http://images.amazon.com/images/P/0060921145.01.LZZZZZZZ.jpg
Jewels of the Sun (Irish Trilogy),Nora Roberts,2004.0,Jove Books,7.968253968253968,63,http://images.amazon.com/images/P/0515126772.01.LZZZZZZZ.jpg
Night Sins,TAMI HOAG,1995.0,Bantam,7.964285714285714,56,http://images.amazon.com/images/P/055356451X.01.LZZZZZZZ.jpg
The Glass Lake,Maeve Binchy,1996.0,Dell,7.964285714285714,56,http://images.amazon.com/images/P/0440221595.01.LZZZZZZZ.jpg
J Is for Judgment,Sue Grafton,1999.0,Fawcett Books,7.963636363636364,55,http://images.amazon.com/images/P/0449221482.01.LZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,1997.0,Del Rey,7.9625,80,http://images.amazon.com/images/P/0345413350.01.LZZZZZZZ.jpg
Fatal Voyage,Kathy Reichs,2002.0,Pocket,7.96078431372549,51,http://images.amazon.com/images/P/0671028375.01.LZZZZZZZ.jpg
The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,1993.0,Ballantine Books,7.958762886597938,97,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg
The Hot Zone,Richard Preston,1995.0,Anchor,7.958333333333333,72,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg
Red Dragon,Thomas Harris,2000.0,Dell Publishing Company,7.957831325301205,166,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,1986.0,Ballantine Books,7.951048951048951,143,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson",Louise Rennison,2001.0,HarperTempest,7.947368421052632,57,http://images.amazon.com/images/P/0064472272.01.LZZZZZZZ.jpg
Bag of Bones,Stephen King,1999.0,Pocket,7.944444444444445,90,http://images.amazon.com/images/P/067102423X.01.LZZZZZZZ.jpg
Needful Things,Stephen King,2004.0,Signet Book,7.942857142857143,70,http://images.amazon.com/images/P/0451172817.01.LZZZZZZZ.jpg
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,1995.0,HarperTorch,7.940298507462686,134,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
Key of Knowledge (Key Trilogy (Paperback)),Nora Roberts,2003.0,Jove Books,7.94,50,http://images.amazon.com/images/P/0515136379.01.LZZZZZZZ.jpg
Atonement: A Novel,Ian McEwan,2002.0,Nan A. Talese,7.94,50,http://images.amazon.com/images/P/0385503954.01.LZZZZZZZ.jpg
Into the Wild,Jon Krakauer,1997.0,Anchor,7.938461538461539,130,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg
A Time to Kill,JOHN GRISHAM,1992.0,Dell,7.93298969072165,194,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
Catch Me If You Can: The True Story of a Real Fake,Stan Redding,2000.0,Broadway,7.927536231884058,69,http://images.amazon.com/images/P/0767905385.01.LZZZZZZZ.jpg
Face the Fire (Three Sisters Island Trilogy),Nora Roberts,2002.0,Jove Books,7.921348314606742,89,http://images.amazon.com/images/P/051513287X.01.LZZZZZZZ.jpg
Heaven and Earth (Three Sisters Island Trilogy),Nora Roberts,2003.0,Jove Books,7.921052631578948,76,http://images.amazon.com/images/P/0515132020.01.LZZZZZZZ.jpg
The Pilot's Wife,Anita Shreve,2001.0,"Little, Brown",7.92,50,http://images.amazon.com/images/P/0316788228.01.LZZZZZZZ.jpg
About a Boy (Movie Tie-In),Nick Hornby,2002.0,Riverhead Books,7.910714285714286,56,http://images.amazon.com/images/P/1573229571.01.LZZZZZZZ.jpg
The Mummy or Ramses the Damned,Anne Rice,1991.0,Ballantine Books,7.910714285714286,56,http://images.amazon.com/images/P/0345369947.01.LZZZZZZZ.jpg
F Is for Fugitive (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1990.0,Bantam,7.903846153846154,52,http://images.amazon.com/images/P/0553284789.01.LZZZZZZZ.jpg
The Client,John Grisham,1994.0,Dell Publishing Company,7.903448275862069,145,http://images.amazon.com/images/P/0440213525.01.LZZZZZZZ.jpg
The Bonesetter's Daughter,Amy Tan,2002.0,Ballantine Books,7.901785714285714,112,http://images.amazon.com/images/P/0804114986.01.LZZZZZZZ.jpg
Three Fates,Nora Roberts,2004.0,Jove Books,7.901639344262295,61,http://images.amazon.com/images/P/0515135062.01.LZZZZZZZ.jpg
Postmortem,Patricia Daniels Cornwell,1993.0,Harper Mass Market Paperbacks (Mm),7.9,60,http://images.amazon.com/images/P/0380710218.01.LZZZZZZZ.jpg
Shopaholic Ties the Knot,Sophie Kinsella,2003.0,Delta,7.897058823529412,68,http://images.amazon.com/images/P/0385336179.01.LZZZZZZZ.jpg
"Like Water for Chocolate : A Novel in Monthly Installments with Recipes, Romances, and Home Remedies",LAURA ESQUIVEL,1995.0,Anchor,7.894736842105263,57,http://images.amazon.com/images/P/038542017X.01.LZZZZZZZ.jpg
Me Talk Pretty One Day,David Sedaris,2001.0,Back Bay Books,7.8930817610062896,159,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
"The Eye of the World (The Wheel of Time, Book 1)",Robert Jordan,1990.0,Tor Fantasy,7.888888888888889,63,http://images.amazon.com/images/P/0812511816.01.LZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997.0,Perennial,7.8875,320,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
Daddy's Little Girl,Mary Higgins Clark,2002.0,Simon &amp; Schuster,7.886792452830188,53,http://images.amazon.com/images/P/0743206045.01.LZZZZZZZ.jpg
The Prince of Tides,Pat Conroy,1987.0,Bantam Books,7.881578947368421,76,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
Black House,Stephen King,2002.0,Ballantine Books,7.88,50,http://images.amazon.com/images/P/0345441036.01.LZZZZZZZ.jpg
Heart of the Sea (Irish Trilogy),Nora Roberts,2000.0,Jove Books,7.876923076923077,65,http://images.amazon.com/images/P/0515128554.01.LZZZZZZZ.jpg
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996.0,Regan Books,7.871794871794871,156,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
The Hundred Secret Senses,Amy Tan,1996.0,Ivy Books,7.869047619047619,84,http://images.amazon.com/images/P/080411109X.01.LZZZZZZZ.jpg
Tears of the Moon (Irish Trilogy),Nora Roberts,2000.0,Jove Books,7.868852459016393,61,http://images.amazon.com/images/P/0515128546.01.LZZZZZZZ.jpg
Timeline,Michael Crichton,1999.0,Alfred A. Knopf,7.864406779661017,59,http://images.amazon.com/images/P/0679444815.01.LZZZZZZZ.jpg
Kiss the Girls,James Patterson,1995.0,Warner Books,7.864197530864198,81,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg
Girl in Hyacinth Blue,Susan Vreeland,2000.0,Penguin Books,7.8625,80,http://images.amazon.com/images/P/014029628X.01.LZZZZZZZ.jpg
The Bean Trees,Barbara Kingsolver,1998.0,HarperTorch,7.861111111111111,72,http://images.amazon.com/images/P/0061097314.01.LZZZZZZZ.jpg
Brave New World,Aldous Huxley,1998.0,Perennial,7.855072463768116,69,http://images.amazon.com/images/P/0060929871.01.LZZZZZZZ.jpg
A Walk to Remember,Nicholas Sparks,2000.0,Warner Books,7.854838709677419,124,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000.0,Back Bay Books,7.853801169590644,171,http://images.amazon.com/images/P/0316284955.01.LZZZZZZZ.jpg
Call of the Wild,Jack London,1996.0,Selldowns/no More Orders,7.851851851851852,54,http://images.amazon.com/images/P/1559029838.01.LZZZZZZZ.jpg
Timeline,MICHAEL CRICHTON,2000.0,Ballantine Books,7.851282051282051,195,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
Jurassic Park,Michael Crichton,1999.0,Ballantine Books,7.85,200,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg
The Big Bad Wolf: A Novel,James Patterson,2003.0,"Little, Brown",7.849056603773585,53,http://images.amazon.com/images/P/0316602906.01.LZZZZZZZ.jpg
2nd Chance,James Patterson,2002.0,"Little, Brown",7.8474576271186445,59,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg
Midnight Bayou,Nora Roberts,2004.0,Jove Books,7.846153846153846,52,http://images.amazon.com/images/P/0515133973.01.LZZZZZZZ.jpg
Chocolat,Joanne Harris,2000.0,Penguin Books,7.846153846153846,52,http://images.amazon.com/images/P/014100018X.01.LZZZZZZZ.jpg
Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),Janet Evanovich,2001.0,St. Martin's Paperbacks,7.846153846153846,78,http://images.amazon.com/images/P/0312976275.01.LZZZZZZZ.jpg
B Is for Burglar (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1986.0,Bantam,7.843373493975903,83,http://images.amazon.com/images/P/0553280341.01.LZZZZZZZ.jpg
The Virgin Blue,Tracy Chevalier,2003.0,Plume Books,7.839285714285714,56,http://images.amazon.com/images/P/0452284449.01.LZZZZZZZ.jpg
Jack &amp; Jill (Alex Cross Novels),James Patterson,1997.0,Warner Books,7.838235294117647,68,http://images.amazon.com/images/P/0446604801.01.LZZZZZZZ.jpg
The Beach House,James Patterson,2003.0,Warner Books,7.836538461538462,104,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
Dolores Claiborne,Stephen King,2004.0,Signet Book,7.833333333333333,60,http://images.amazon.com/images/P/0451177096.01.LZZZZZZZ.jpg
Without Remorse,Tom Clancy,2004.0,Berkley Publishing Group,7.830508474576271,59,http://images.amazon.com/images/P/0425143325.01.LZZZZZZZ.jpg
The Firm,John Grisham,1992.0,Bantam Dell Publishing Group,7.822115384615385,208,http://images.amazon.com/images/P/044021145X.01.LZZZZZZZ.jpg
Contact,Carl Sagan,1997.0,Pocket,7.82089552238806,67,http://images.amazon.com/images/P/0671004107.01.LZZZZZZZ.jpg
Envy,Sandra Brown,2002.0,Warner Books,7.82,50,http://images.amazon.com/images/P/0446611808.01.LZZZZZZZ.jpg
Prey: A Novel,Michael Crichton,2002.0,HarperCollins,7.813186813186813,91,http://images.amazon.com/images/P/0066214122.01.LZZZZZZZ.jpg
Snow Falling on Cedars,David Guterson,1995.0,Vintage Books USA,7.80859375,256,http://images.amazon.com/images/P/067976402X.01.LZZZZZZZ.jpg
Me Talk Pretty One Day,David Sedaris,2000.0,"Little, Brown",7.807017543859649,57,http://images.amazon.com/images/P/0316777722.01.LZZZZZZZ.jpg
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994.0,John Wiley &amp; Sons Inc,7.805194805194805,77,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
Stupid White Men ...and Other Sorry Excuses for the State of the Nation!,Michael Moore,2002.0,Regan Books,7.80379746835443,158,http://images.amazon.com/images/P/0060392452.01.LZZZZZZZ.jpg
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001.0,Delta,7.803680981595092,163,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
Blessings,ANNA QUINDLEN,2002.0,Random House,7.803571428571429,56,http://images.amazon.com/images/P/0375502238.01.LZZZZZZZ.jpg
Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,Random House,7.794392523364486,107,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
Unnatural Exposure,Patricia Daniels Cornwell,1998.0,Berkley Publishing Group,7.791666666666667,72,http://images.amazon.com/images/P/0425163407.01.LZZZZZZZ.jpg
Einstein's Dreams,Alan Lightman,1994.0,Warner Books,7.788461538461538,52,http://images.amazon.com/images/P/0446670111.01.LZZZZZZZ.jpg
Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper)),Jack Canfield,1996.0,Health Communications,7.787878787878788,66,http://images.amazon.com/images/P/1558744150.01.LZZZZZZZ.jpg
Nights in Rodanthe,Nicholas Sparks,2002.0,Warner Books,7.7846153846153845,65,http://images.amazon.com/images/P/0446531332.01.LZZZZZZZ.jpg
Interview with the Vampire,Anne Rice,1993.0,Ballantine Books,7.778260869565218,230,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
Cold Mountain : A Novel,CHARLES FRAZIER,1998.0,Vintage,7.776119402985074,134,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
Beloved (Plume Contemporary Fiction),Toni Morrison,1994.0,Plume,7.772151898734177,79,http://images.amazon.com/images/P/0452264464.01.LZZZZZZZ.jpg
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002.0,HarperTorch,7.771084337349397,166,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
At Home in Mitford (The Mitford Years),Jan Karon,1996.0,Viking Books,7.771084337349397,83,http://images.amazon.com/images/P/014025448X.01.LZZZZZZZ.jpg
The Alienist,Caleb Carr,1995.0,Bantam Books,7.766666666666667,120,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
Chosen Prey,John Sandford,2004.0,Berkley Publishing Group,7.762711864406779,59,http://images.amazon.com/images/P/0425182878.01.LZZZZZZZ.jpg
The Virgin Suicides,Jeffrey Eugenides,1994.0,Warner Books,7.7555555555555555,90,http://images.amazon.com/images/P/0446670251.01.LZZZZZZZ.jpg
The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),Anita Shreve,1999.0,"Little, Brown",7.753846153846154,65,http://images.amazon.com/images/P/0316789089.01.LZZZZZZZ.jpg
False Memory,Dean R. Koontz,2000.0,Bantam Books,7.753846153846154,65,http://images.amazon.com/images/P/0553580221.01.LZZZZZZZ.jpg
The Murder Book,Jonathan Kellerman,2003.0,Ballantine Books,7.753623188405797,69,http://images.amazon.com/images/P/0345413903.01.LZZZZZZZ.jpg
Point of Origin,Patricia Daniels Cornwell,1999.0,Berkley Publishing Group,7.753623188405797,69,http://images.amazon.com/images/P/0425169863.01.LZZZZZZZ.jpg
Fast Women,Jennifer Crusie,2002.0,St. Martin's Press,7.75,52,http://images.amazon.com/images/P/0312980159.01.LZZZZZZZ.jpg
H Is for Homicide (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1993.0,Fawcett Books,7.75,52,http://images.amazon.com/images/P/0449219461.01.LZZZZZZZ.jpg
Moonlight Becomes You,Mary Higgins Clark,1997.0,Pocket,7.745098039215686,51,http://images.amazon.com/images/P/0671867113.01.LZZZZZZZ.jpg
The Runaway Jury,JOHN GRISHAM,1997.0,Dell,7.743421052631579,152,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg
Hearts In Atlantis : New Fiction,Stephen King,1999.0,Scribner,7.74,50,http://images.amazon.com/images/P/0684853515.01.LZZZZZZZ.jpg
SHIPPING NEWS,Annie Proulx,1994.0,Scribner,7.733333333333333,150,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback)),Sue Grafton,1988.0,Bantam,7.733333333333333,60,http://images.amazon.com/images/P/0553271636.01.LZZZZZZZ.jpg
Bridget Jones's Diary,Helen Fielding,1999.0,Penguin Books,7.732824427480916,131,http://images.amazon.com/images/P/014028009X.01.LZZZZZZZ.jpg
Midwives: A Novel,Chris Bohjalian,1998.0,Vintage,7.73202614379085,153,http://images.amazon.com/images/P/0375706771.01.LZZZZZZZ.jpg
1st to Die: A Novel,James Patterson,2002.0,Warner Vision,7.728813559322034,177,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
The Cider House Rules,John Irving,1994.0,Ballantine Books,7.728260869565218,92,http://images.amazon.com/images/P/0345387651.01.LZZZZZZZ.jpg
A Lesson Before Dying (Vintage Contemporaries (Paperback)),Ernest J. Gaines,1997.0,Vintage Books USA,7.72289156626506,83,http://images.amazon.com/images/P/0375702709.01.LZZZZZZZ.jpg
2nd Chance,James Patterson,2003.0,Warner Vision,7.722222222222222,90,http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg
Q Is for Quarry,Sue Grafton,2003.0,Berkley Publishing Group,7.722222222222222,54,http://images.amazon.com/images/P/0425192725.01.LZZZZZZZ.jpg
The Rainmaker,John Grisham,1995.0,Doubleday Books,7.72,50,http://images.amazon.com/images/P/0385424736.01.LZZZZZZZ.jpg
Pigs in Heaven,Barbara Kingsolver,1994.0,Perennial,7.716981132075472,53,http://images.amazon.com/images/P/0060922532.01.LZZZZZZZ.jpg
Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),Tim Lahaye,1996.0,Tyndale House Publishers,7.716129032258064,155,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
Chicken Soup for the Soul (Chicken Soup for the Soul),Jack Canfield,1993.0,Health Communications,7.71578947368421,95,http://images.amazon.com/images/P/155874262X.01.LZZZZZZZ.jpg
The Partner,John Grisham,1998.0,Dell Publishing Company,7.713286713286713,143,http://images.amazon.com/images/P/0440224764.01.LZZZZZZZ.jpg
Sophie's World: A Novel About the History of Philosophy,Jostein Gaarder,1996.0,Berkley Publishing Group,7.712765957446808,94,http://images.amazon.com/images/P/0425152251.01.LZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,2002.0,Warner Books,7.7125,80,http://images.amazon.com/images/P/0446679593.01.LZZZZZZZ.jpg
The Testament,John Grisham,1999.0,Dell,7.704142011834319,169,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
From Potter's Field,Patricia Daniels Cornwell,1996.0,Berkley Publishing Group,7.704081632653061,98,http://images.amazon.com/images/P/0425154092.01.LZZZZZZZ.jpg
"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999.0,Perennial,7.703703703703703,54,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg
Insomnia,Stephen King,1995.0,Signet Book,7.703703703703703,81,http://images.amazon.com/images/P/0451184963.01.LZZZZZZZ.jpg
Digital Fortress : A Thriller,Dan Brown,2003.0,St. Martin's Press,7.7032967032967035,91,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
Mystic River,Dennis Lehane,2002.0,HarperTorch,7.701923076923077,104,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),Wally Lamb,1998.0,Pocket,7.700460829493087,217,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
Sick Puppy,Carl Hiaasen,2001.0,Warner Vision,7.698630136986301,73,http://images.amazon.com/images/P/0446604666.01.LZZZZZZZ.jpg
Violets Are Blue,James Patterson,2002.0,Warner Vision,7.695652173913044,92,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg
In Her Shoes : A Novel,Jennifer Weiner,2003.0,Washington Square Press,7.693548387096774,62,http://images.amazon.com/images/P/0743418204.01.LZZZZZZZ.jpg
Black Notice,Patricia Daniels Cornwell,2000.0,Berkley Publishing Group,7.693181818181818,88,http://images.amazon.com/images/P/0425175405.01.LZZZZZZZ.jpg
The Notebook,Nicholas Sparks,1998.0,Warner Books,7.689320388349515,206,http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg
The Great Gatsby,F. Scott Fitzgerald,1995.0,Scribner,7.688679245283019,106,http://images.amazon.com/images/P/0684801523.01.LZZZZZZZ.jpg
One Door Away from Heaven,Dean R. Koontz,2002.0,Bantam Books,7.6875,96,http://images.amazon.com/images/P/0553582755.01.LZZZZZZZ.jpg
The Catcher in the Rye,J.D. Salinger,1991.0,"Little, Brown",7.68724279835391,243,http://images.amazon.com/images/P/0316769487.01.LZZZZZZZ.jpg
Plainsong (Vintage Contemporaries),KENT HARUF,2000.0,Vintage,7.686567164179104,67,http://images.amazon.com/images/P/0375705856.01.LZZZZZZZ.jpg
Diary of a Mad Bride (Summer Display Opportunity),Laura Wolf,2002.0,Delta,7.686274509803922,51,http://images.amazon.com/images/P/0385335830.01.LZZZZZZZ.jpg
The God of Small Things,Arundhati Roy,1998.0,Perennial,7.680412371134021,97,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
Fear Nothing,DEAN KOONTZ,1998.0,Bantam,7.67741935483871,62,http://images.amazon.com/images/P/0553579754.01.LZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,2003.0,Warner Books,7.666666666666667,69,http://images.amazon.com/images/P/0446611085.01.LZZZZZZZ.jpg
1st to Die: A Novel,James Patterson,2001.0,Little Brown and Company,7.661016949152542,59,http://images.amazon.com/images/P/0316666009.01.LZZZZZZZ.jpg
On the Street Where You Live,Mary Higgins Clark,2002.0,Pocket,7.654761904761905,84,http://images.amazon.com/images/P/0671004530.01.LZZZZZZZ.jpg
Zen and the Art of Motorcycle Maintenance: An Inquiry into Values,ROBERT PIRSIG,1984.0,Bantam,7.653333333333333,75,http://images.amazon.com/images/P/0553277472.01.LZZZZZZZ.jpg
"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002.0,Miramax Kids,7.648648648648648,74,http://images.amazon.com/images/P/0786817070.01.LZZZZZZZ.jpg
Empire Falls,Richard Russo,2002.0,Vintage Books USA,7.6482758620689655,145,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
The Partner,John Grisham,1997.0,Doubleday Books,7.637931034482759,58,http://images.amazon.com/images/P/0385472951.01.LZZZZZZZ.jpg
A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),SUE GRAFTON,1987.0,Bantam,7.637254901960785,102,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
The Dark Half,Stephen King,1994.0,Signet Book,7.632352941176471,68,http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg
Atonement : A Novel,IAN MCEWAN,2003.0,Anchor,7.630769230769231,65,http://images.amazon.com/images/P/038572179X.01.LZZZZZZZ.jpg
The Sweet Potato Queens' Book of Love,JILL CONNER BROWNE,1999.0,Three Rivers Press,7.628865979381444,97,http://images.amazon.com/images/P/0609804138.01.LZZZZZZZ.jpg
The Hours: A Novel,Michael Cunningham,2002.0,Picador,7.627906976744186,129,http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg
Manhattan Hunt Club,JOHN SAUL,2002.0,Ballantine Books,7.627450980392157,51,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
The Street Lawyer,JOHN GRISHAM,1999.0,Dell,7.62406015037594,133,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
Bridget Jones's Diary,Helen Fielding,1998.0,Viking Books,7.622641509433962,53,http://images.amazon.com/images/P/0670880728.01.LZZZZZZZ.jpg
One True Thing,Anna Quindlen,1995.0,Dell,7.62,50,http://images.amazon.com/images/P/044022103X.01.LZZZZZZZ.jpg
The King of Torts,JOHN GRISHAM,2003.0,Dell,7.619565217391305,92,http://images.amazon.com/images/P/0440241537.01.LZZZZZZZ.jpg
Beach Music,Pat Conroy,1996.0,Bantam Books,7.619047619047619,63,http://images.amazon.com/images/P/0553574574.01.LZZZZZZZ.jpg
Neuromancer (Remembering Tomorrow),William Gibson,1995.0,Ace Books,7.6103896103896105,77,http://images.amazon.com/images/P/0441569595.01.LZZZZZZZ.jpg
Pay It Forward,Catherine Ryan Hyde,2000.0,Pocket,7.610169491525424,59,http://images.amazon.com/images/P/0743412028.01.LZZZZZZZ.jpg
Divine Secrets of the Ya-Ya Sisterhood : A Novel,Rebecca Wells,1996.0,HarperCollins,7.610169491525424,59,http://images.amazon.com/images/P/0060173289.01.LZZZZZZZ.jpg
The Smoke Jumper,Nicholas Evans,2002.0,Dell Publishing Company,7.606060606060606,66,http://images.amazon.com/images/P/0440235162.01.LZZZZZZZ.jpg
Deception Point,Dan Brown,2002.0,Pocket,7.602150537634409,93,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
"Welcome to the World, Baby Girl!",Fannie Flagg,1999.0,Ballantine Books,7.6,60,http://images.amazon.com/images/P/080411868X.01.LZZZZZZZ.jpg
The Andromeda Strain,MICHAEL CRICHTON,1992.0,Ballantine Books,7.6,70,http://images.amazon.com/images/P/0345378482.01.LZZZZZZZ.jpg
